분류명,번호,예전주소,현재주소,경도,위도,업데이트일시
30200CTVPOC477939623,047.자립지원센터 앞,"(남대전 47-1)	방범용	2013.12	중교로 47-1 인근(자립지원센터 앞/대흥동 251-5)","(남대전 47-1)	방범용	2013.12	중교로 47-1 인근(자립지원센터 앞/대흥동 251-5)",127.4251252,36.3257556,2015-05-19 11:36:32
30200CTVPOC477960808,048.마음편한병원 앞,중교로 32 인근(마음편한병원 앞/대흥동 452-2),중교로 32 인근(마음편한병원 앞/대흥동 452-2),127.4236017,36.3252175,2015-05-19 11:36:32
30200CTVPOC477987562,049.투다리앞,중교로 6-1 인근(투다리 앞/대흥동 508-11),중교로 6-1 인근(투다리 앞/대흥동 508-11),127.4209383,36.3242559,2015-05-19 11:36:32
30200CTVPOC478047576,001.서대전초등학교 인근,용두로24번길 1(서대전초등학교 인근/용두동 71-23),용두로24번길 1(서대전초등학교 인근/용두동 71-23),127.409147656367,36.3263875748666,2015-05-19 11:36:32
30200CTVPOC478225854,002.태평초등학교 정문,유천로 117 인근(태평초등학교 정문/태평2동 385-10),유천로 117 인근(태평초등학교 정문/태평2동 385-10),127.395636295259,36.3220471986735,2015-05-19 11:36:32
30200CTVPOC478251750,003.신평초등학교 정문,유등천동로 468-2(신평초등학교 정문/태평2동 417-14),유등천동로 468-2(신평초등학교 정문/태평2동 417-14),127.388665876453,36.3227163321133,2015-05-19 11:36:32
30200CTVPOC478273200,004.대신초등학교 정자앞,솔밭로16번길 17(대신초정자 앞/대사동 233-10),솔밭로16번길 17(대신초정자 앞/대사동 233-10),127.419801696662,36.3157961705704,2015-05-19 11:36:32
30200CTVPOC478338034,005.글꽃초등학교 정문,계룡로918번길 97 인근(글꽃초등학교 정문/문화1동 1-258),계룡로918번길 97 인근(글꽃초등학교 정문/문화1동 1-258),127.4100673,36.3191385,2015-05-19 11:36:32
30200CTVPOC478370732,006.유평초등학교 정문,수침로 123 인근(유평초등학교 정문/태평1동 343-2),수침로 123 인근(유평초등학교 정문/태평1동 343-2),127.3979276,36.3310995,2015-05-19 11:36:32
30200CTVPOC478394132,007.버드네초등학교 정문,태평로 21 인근(버드내초정문/태평2동 422-32),태평로 21 인근(버드내초정문/태평2동 422-32),127.391537315222,36.3181700703947,2015-05-19 11:36:32
30200CTVPOC478459933,008.한밭주택 옆,오류로 97-15 인근(한밭주택 옆/오류동 190-19),오류로 97-15 인근(한밭주택 옆/오류동 190-19),127.400704097997,36.3284636279608,2015-05-19 11:36:32
30200CTVPOC478483645,009.홍익빌라 앞,과례로 66 인근(홍익빌라 앞/문화1동 19-1),과례로 66 인근(홍익빌라 앞/문화1동 19-1),127.412743851934,36.3137212034468,2015-05-19 11:36:32
30200CTVPOC478506141,010.국제통상고 정문앞,서문로 58 인근(국제통상고 앞/문화1동 192-17),서문로 58 인근(국제통상고 앞/문화1동 192-17),127.408297804499,36.3132411703911,2015-05-19 11:36:32
30200CTVPOC478525766,011.테미공원,테미로 2-16 인근(테미공원/대흥동 326-246),테미로 2-16 인근(테미공원/대흥동 326-246),127.420618151844,36.3186118975676,2015-05-19 11:36:32
30200CTVPOC478599180,012.덕수암 앞,보문산공원로 487-1 인근(덕수암 앞/대사동 198-28),보문산공원로 487-1 인근(덕수암 앞/대사동 198-28),127.421267394755,36.3126687899052,2015-05-19 11:36:32
30200CTVPOC478677960,013.중앙유치원 주변,"계룡로920번안길 257-7(중앙유치원 주변,대사동 248-201)","계룡로920번안길 257-7(중앙유치원 주변,대사동 248-201)",127.414396689647,36.3182507422335,2015-05-19 11:36:32
30200CTVPOC478698833,014.테미도서관 주변,"보문로199번길 55(테미도서관 주변,대흥동 326-188)","보문로199번길 55(테미도서관 주변,대흥동 326-188)",127.4208069,36.3197328,2015-05-19 11:36:32
30200CTVPOC493284786,060.구암6동 노인회경로당 앞,구암동 323,구암동 323,127.3221646,36.3503909,2015-05-19 11:36:32
30200CTVPOC493296424,061.장대동 225-39,장대동 233-11,장대동 233-11,127.3249139,36.3606926,2015-05-19 11:36:32
30200CTVPOC493452550,062.해가든오리집 뒷길,전민동 382-3,전민동 382-3,127.4058697,36.4045257,2015-05-19 11:36:32
30200CTVPOC493460802,063.명우빌라앞 삼거리,신성동 124-16,신성동 124-16,127.3514423,36.3907904,2015-05-19 11:36:33
30200CTVPOC493584838,044.달맞이흑두부앞,갑동 388-12,갑동 388-12,127.2953519,36.36163,2015-05-19 11:36:33
30200CTVPOC493593060,045.바글바글김치찌개 앞,지족동 979-12,지족동 979-12,127.3160004,36.38788999,2015-05-19 11:36:33
30200CTVPOC493600719,046.사당앞,현충로443번길 33,현충로443번길 33,127.3197426,36.3610792,2015-05-19 11:36:33
30200CTVPOC493698360,048.구룡동 마을입구,구룡동 327-1,구룡동 327-1,127.3616078,36.4507106,2015-05-19 11:36:33
30200CTVPOC493705989,049.구룡동마을입(고정),구룡동 327-1,구룡동 327-1,127.3616078,36.4507106,2015-05-19 11:36:33
30200CTVPOC493712775,050.탑립1통산의절 버스정류장 앞,탑립동 597-1,탑립동 597-1,127.3981798,36.4097476,2015-05-19 11:36:33
30200CTVPOC500443157,053.(370-2014-10) 목련어린이집#2,신갈마로(갈마동 432-11),신갈마로(갈마동 432-11),127.368236111111,36.3401083333333,2015-05-19 11:36:33
30200CTVPOC500629781,057.(375-2014-15) 월평초등학교#1,월평로13번길 28(월평1동 362),월평로13번길 28(월평1동 362),127.358069444444,36.3566027777778,2015-05-19 11:36:33
30200CTVPOC501054291,049.(381-2014-21) 흑석어린이집#2,조련길 67,조련길 67,127.345661111111,36.2522,2015-05-19 11:36:33
30200CTVPOC534963620,020.(287-2014-6) 피피쿠스어린이집 삼거리#1(돔),가수원로 65번길18 (가수원동 641-39),가수원로 65번길18 (가수원동 641-39),127.350794444444,36.2997194444444,2015-05-19 11:36:33
30200CTVPOC535027409,022.(287-2014-6) 피피쿠스어린이집 삼거리#3(고정),가수원로 65번길18 (가수원동 641-39),가수원로 65번길18 (가수원동 641-39),127.350794444444,36.2997194444444,2015-05-19 11:36:33
30200CTVPOC535046987,023.(385-2014-4) 선골마을 버스정류장 앞#1(돔),괴곡동 157번지 인근,괴곡동 157번지 인근,127.365836111111,36.27865,2015-05-19 11:36:33
30200CTVPOC608922852,001.우정공원,용문로 41-17(괴정동 425-1 / 우정어린이공원),용문로 41-17(괴정동 425-1 / 우정어린이공원),127.3885207,36.3400388,2015-05-19 11:36:33
30200CTVPOC608946018,002.변정어린이공원,변정3길 18(변동 45-1 / 변정어린이공원내),변정3길 18(변동 45-1 / 변정어린이공원내),127.3825953,36.3234765,2015-05-19 11:36:33
30200VDSIMG000000083,VDS0083,중구 문화동 584-4번지(극동아파트 앞),중구 문화동 584-4번지(극동아파트 앞),127.402659733,36.3060427883,2015-05-19 11:36:29
